Latitude,Longitude,id,address,Flashed,Flashable
48.859382,2.292935,PA_0107,rive gauche nord,False,True
48.859936,2.29058,PA_0108,tunnel de l'avenue de New York,False,True
48.859764,2.352534,PA_0109,tuyaux d'̩vacuation du Centre Pompidou,True,True
48.86263,2.35125,PA_0110,91 rue Quincampoix,False,True
48.891598,2.344664,PA_0111,20 rue Hermel,False,True
48.835,2.326943,PA_0112,19 rue Gassendi,False,True
48.846596,2.351423,PA_0113,46 rue du Cardinal Lemoine,False,True
48.857153,2.357275,PA_0114,26 rue Vieille du Temple,True,True
48.857153,2.357275,PA_1023,26 rue Vieille du Temple,True,True
48.858572,2.359639,PA_0115,impasse des Arbal̩triers,True,True
48.854719,2.372764,PA_0116,45 passage Thi̩r̩,False,True
48.854414,2.373113,PA_0117,31 passage Thi̩r̩ sur le trottoir,False,True
48.835576,2.375347,PA_0118,1 rue Raymond Ayron,False,True
48.859426,2.402789,PA_0119,102 rue de Bagnolet,False,True
48.859426,2.402789,PA_0824,102 rue de Bagnolet,False,True
48.869474,2.367228,PA_0120,44 quai de Jemmapes,False,True
48.857629,2.332797,PA_0121,7 rue des Saints-P̬res,True,True
48.840487,2.353132,PA_0122,sous le lierre,False,True
48.873356,2.324385,PA_0124,40 rue de l'Arcade,False,True
48.83954,2.39581,PA_0125,sud de la Fontaine aux Lions,False,True
48.859222,2.292681,PA_0126,pont d'I̩na (rive gauche),False,True
48.852,2.37376,PA_0128,1 rue de Charonne,True,True
48.856488,2.403152,PA_0131,53 rue des Orteaux,False,True
48.856255,2.405541,PA_0132,97 rue des Marąchers,False,True
48.851674,2.3779,PA_0133,7 passage de la Main d'Or,False,True
48.860367,2.333511,PA_0135,entr̩e sud du Carrousel,False,True
48.857374,2.347233,PA_0143,place du Ch̢telet,False,True
48.86014,2.35078,PA_0144,face au 49 rue Saint-Merri,False,True
48.8593,2.353009,PA_0145,9 rue Saint-Merri,True,True
48.834234,2.355438,PA_0146,2 rue V̩ron̬se,False,True
48.842848,2.365852,PA_0147,gare d'Austerlitz,False,True
48.85593,2.35063,PA_0148,sur le pont d'Arcole,False,True
48.854717,2.362911,PA_0149,1 rue de Turenne,True,True
48.84745,2.34358,PA_0150,angle de la Sorbonne,True,True
48.843051,2.346784,PA_0151,28 rue Lhomond,True,True
48.86619,2.323337,PA_0152,place de la Concorde,True,True
48.841734,2.400953,PA_0154,m̩tro de Bel-Air,False,True
48.851375,2.348257,PA_0155,16 rue des Trois Portes,False,True
48.85991,2.354299,PA_0156,2 rue Simon le Franc,False,True
48.846242,2.348976,PA_0157,10 rue Clovis,False,True
48.8607,2.363722,PA_0158,7 rue Debelleyme.,False,True
48.876025,2.351035,PA_0159,69 rue d'Hauteville,False,True
48.885374,2.340677,PA_0160,16 rue Andr̩ Barsacq,False,True
48.884163,2.339665,PA_0161,17 rue Yvonne Le Tac,False,True
48.884617,2.370559,PA_0162,8 quai de la Seine,False,True
48.84691,2.34355,PA_0163,133 rue Saint-Jacques,True,True
48.887647,2.340567,PA_0165,5 rue Cortot,False,True
48.885298,2.38531,PA_0166,face au 21 rue Georges Auric,False,True
48.865523,2.336674,PA_0167,37 rue Richelieu,False,True
48.865523,2.336674,PA_0168,37 rue Richelieu,False,True
48.886355,2.341469,PA_0169,2 rue du Mont Cenis,False,True
48.89119,2.3318,PA_0172,21 rue Carpeaux,False,True
48.851599,2.373552,PA_0175,18 passage du Chantier,True,True
